diptera_family,diptera_genus,diptera_species,host_species,host_genus,host_family,host_order,host_class,webID,frequency,country,latitude,longitude,Site,Paper name,Authors 
Ceratopogonidae,Culicoides,C. bolitinos ,E.ferus,Equus,Equidae,Perissodactyla,Mammalia,P01,6,South Africa,-30.5594826,22.9375057,Near-natural,"Blood meal analysis in Culicoides midges collected near horses, donkeys and zebras in the Eastern Cape, South Africa",Riddin et al (2019)
Ceratopogonidae,Culicoides,C. bolitinos ,E.africanus,Equus,Equidae,Perissodactyla,Mammalia,P01,3,South Africa,-30.5594826,22.9375057,Near-natural,"Blood meal analysis in Culicoides midges collected near horses, donkeys and zebras in the Eastern Cape, South Africa",Riddin et al (2019)
Ceratopogonidae,Culicoides,C. bolitinos ,S.scrofa,Sus,Suidae,Artiodactyla,Mammalia,P01,2,South Africa,-30.5594826,22.9375057,Near-natural,"Blood meal analysis in Culicoides midges collected near horses, donkeys and zebras in the Eastern Cape, South Africa",Riddin et al (2019)
Ceratopogonidae,Culicoides,C. bolitinos ,B.taurus,Bos,Bovidae,Artiodactyla,Mammalia,P01,1,South Africa,-30.5594826,22.9375057,Near-natural,"Blood meal analysis in Culicoides midges collected near horses, donkeys and zebras in the Eastern Cape, South Africa",Riddin et al (2019)
Ceratopogonidae,Culicoides,C. gulbenkiani ,E.ferus,Equus,Equidae,Perissodactyla,Mammalia,P01,1,South Africa,-30.5594826,22.9375057,Near-natural,"Blood meal analysis in Culicoides midges collected near horses, donkeys and zebras in the Eastern Cape, South Africa",Riddin et al (2019)
Ceratopogonidae,Culicoides,C. gulbenkiani ,C.l. familiaris,Canis,Canidae,Carnivora,Mammalia,P01,1,South Africa,-30.5594826,22.9375057,Near-natural,"Blood meal analysis in Culicoides midges collected near horses, donkeys and zebras in the Eastern Cape, South Africa",Riddin et al (2019)
Ceratopogonidae,Culicoides,C. imicola,E.ferus,Equus,Equidae,Perissodactyla,Mammalia,P01,17,South Africa,-30.5594826,22.9375057,Near-natural,"Blood meal analysis in Culicoides midges collected near horses, donkeys and zebras in the Eastern Cape, South Africa",Riddin et al (2019)
Ceratopogonidae,Culicoides,C. imicola,E.africanus,Equus,Equidae,Perissodactyla,Mammalia,P01,1,South Africa,-30.5594826,22.9375057,Near-natural,"Blood meal analysis in Culicoides midges collected near horses, donkeys and zebras in the Eastern Cape, South Africa",Riddin et al (2019)
Ceratopogonidae,Culicoides,C. isioloensis ,B.taurus,Bos,Bovidae,Artiodactyla,Mammalia,P01,1,South Africa,-30.5594826,22.9375057,Near-natural,"Blood meal analysis in Culicoides midges collected near horses, donkeys and zebras in the Eastern Cape, South Africa",Riddin et al (2019)
Ceratopogonidae,Culicoides,C. leucostictus,E.ferus,Equus,Equidae,Perissodactyla,Mammalia,P01,1,South Africa,-30.5594826,22.9375057,Near-natural,"Blood meal analysis in Culicoides midges collected near horses, donkeys and zebras in the Eastern Cape, South Africa",Riddin et al (2019)
Ceratopogonidae,Culicoides,C. leucostictus,E.africanus,Equus,Equidae,Perissodactyla,Mammalia,P01,1,South Africa,-30.5594826,22.9375057,Near-natural,"Blood meal analysis in Culicoides midges collected near horses, donkeys and zebras in the Eastern Cape, South Africa",Riddin et al (2019)
